"","Foods","Calories","Carbs","Fat","Protein","Cholest","Sodium","Sugars","Fiber","day"
"2","Quaker Oats - 100% Natural Whole Grains Old Fashioned, 1/2 Cup (40g)","150","27g","3g","5g","0mg","0mg","1g","4g",2014-04-01
"3","All White - Liquid Egg Whites, 9 tbsp","75","0g","0g","15g","0mg","225mg","0g","0g",2014-04-01
"4","1 Gram - Fats - Macros, 1 Gram","9","0g","1g","0g","0mg","0mg","0g","0g",2014-04-01
"5","General Mills Cereal - Honey Nut Rice Chex Gluten Free, 3/4 cup","120","28g","1g","2g","0mg","200mg","9g","1g",2014-04-01
"6","Trader Joe's - Organic Free Range Eggs - Large, 2 egg","140","2g","9g","12g","430mg","130mg","0g","0g",2014-04-01
"7","Trader Joe's - Almond Milk, Vanilla Unsweetened 240ml (8 Oz), 480 mL/8 fl oz","80","6g","6g","2g","0mg","360mg","0g","2g",2014-04-01
"8","Kellogg's - Rice Krispies Treats Double Chocolatey Chunk 100 Calories, 1 Bar (22g)","100","15g","4g","0g","0mg","75mg","9g","0g",2014-04-01
"10","General Mills Cereal - Honey Nut Rice Chex Gluten Free, 3/4 cup","120","28g","1g","2g","0mg","200mg","9g","1g",2014-04-01
"11","Trader Joe's - Almond Milk, Vanilla Unsweetened 240ml (8 Oz), 240 mL/8 fl oz","40","3g","3g","1g","0mg","180mg","0g","1g",2014-04-01
"12","Trader Joes - Lite Shredded Mozzarella Cheese, 1 oz","45","0g","3g","5g","10mg","190mg","0g","0g",2014-04-01
"13","Trader Joe's - Yukon Gold Potato, 262 g","195","46g","0g","5g","0mg","0mg","2g","4g",2014-04-01
"14","Chicken - Breast, meat only, cooked, stewed, 162 g","245","0g","5g","47g","125mg","102mg","0g","0g",2014-04-01
"16","Trader Joes - Lite Shredded Mozzarella Cheese, 2 oz","90","0g","6g","10g","20mg","380mg","0g","0g",2014-04-01
"17","Trader Joe's - Flour Tortillas, 1 tortilla (48g)","170","30g","4g","5g","0mg","260mg","0g","2g",2014-04-01
"18","Trader Joe's - 73% Super Dark Chocolate, 1 sections (42g)","48","4g","3g","1g","0mg","0mg","2g","1g",2014-04-01
"20","Trader Joes - Lite Shredded Mozzarella Cheese, 1 oz","45","0g","3g","5g","10mg","190mg","0g","0g",2014-04-01
"21","Trader Joe's - Yukon Gold Potato, 262 g","195","46g","0g","5g","0mg","0mg","2g","4g",2014-04-01
